"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2016","857.00","864.00","922.00","798.00","","-2.06%"
"09/01/2016","875.00","712.00","941.00","712.00","","23.07%"
"08/01/2016","711.00","650.00","720.00","631.00","","8.38%"
"07/01/2016","656.00","677.00","748.00","656.00","","-0.61%"
"06/01/2016","660.00","612.00","660.00","580.00","","7.84%"
"05/01/2016","612.00","682.00","682.00","579.00","","-12.94%"
"04/01/2016","703.00","450.00","715.00","450.00","","63.87%"
"03/01/2016","429.00","332.00","429.00","332.00","","30.40%"
"02/01/2016","329.00","314.00","329.00","290.00","","3.79%"
"01/01/2016","317.00","473.00","473.00","317.00","","-33.68%"
"12/01/2015","478.00","598.00","598.00","471.00","","-18.15%"
"11/01/2015","584.00","706.00","706.00","498.00","","-19.00%"
"10/01/2015","721.00","888.00","889.00","721.00","","-19.89%"
"09/01/2015","900.00","911.00","978.00","802.00","","-0.33%"
"08/01/2015","903.00","1,151.00","1,222.00","903.00","","-20.16%"
"07/01/2015","1,131.00","794.00","1,131.00","794.00","","41.38%"
"06/01/2015","800.00","589.00","829.00","589.00","","35.82%"
"05/01/2015","589.00","587.00","637.00","573.00","","-0.34%"
"04/01/2015","591.00","596.00","601.00","578.00","","-1.83%"
"03/01/2015","602.00","548.00","602.00","548.00","","11.48%"
"02/01/2015","540.00","590.00","590.00","509.00","","-11.18%"
"01/01/2015","608.00","771.00","771.00","608.00","","-22.25%"
"12/01/2014","782.00","1,137.00","1,137.00","782.00","","-32.18%"
"11/01/2014","1,153.00","1,456.00","1,484.00","1,153.00","","-19.26%"
"10/01/2014","1,428.00","1,055.00","1,428.00","930.00","","34.34%"
"09/01/2014","1,063.00","1,151.00","1,197.00","1,038.00","","-7.32%"
"08/01/2014","1,147.00","751.00","1,147.00","751.00","","51.92%"
"07/01/2014","755.00","894.00","894.00","723.00","","-11.18%"
"06/01/2014","850.00","934.00","1,004.00","824.00","","-8.99%"
"05/01/2014","934.00","943.00","1,027.00","934.00","","-0.95%"
"04/01/2014","943.00","1,316.00","1,316.00","930.00","","-30.76%"
"03/01/2014","1,362.00","1,276.00","1,621.00","1,276.00","","8.27%"
"02/01/2014","1,258.00","1,093.00","1,258.00","1,084.00","","13.33%"
"01/01/2014","1,110.00","2,113.00","2,113.00","1,110.00","","-51.25%"
"12/01/2013","2,277.00","1,865.00","2,337.00","1,865.00","","25.04%"
"11/01/2013","1,821.00","1,525.00","1,821.00","1,483.00","","21.08%"
"10/01/2013","1,504.00","1,994.00","2,146.00","1,484.00","","-24.91%"
"09/01/2013","2,003.00","1,139.00","2,127.00","1,139.00","","76.94%"
"08/01/2013","1,132.00","1,066.00","1,169.00","996.00","","6.59%"
"07/01/2013","1,062.00","1,179.00","1,179.00","1,062.00","","-9.31%"
"06/01/2013","1,171.00","806.00","1,171.00","801.00","","44.75%"
"05/01/2013","809.00","862.00","892.00","809.00","","-6.26%"
"04/01/2013","863.00","896.00","896.00","856.00","","-5.16%"
"03/01/2013","910.00","776.00","935.00","776.00","","20.21%"
"02/01/2013","757.00","750.00","757.00","735.00","","-0.39%"
"01/01/2013","760.00","698.00","838.00","698.00","","8.73%"
"12/01/2012","699.00","1,077.00","1,077.00","699.00","","-35.64%"
"11/01/2012","1,086.00","1,000.00","1,104.00","916.00","","5.85%"
"10/01/2012","1,026.00","777.00","1,109.00","777.00","","33.94%"
"09/01/2012","766.00","698.00","774.00","661.00","","8.96%"
"08/01/2012","703.00","878.00","878.00","703.00","","-21.63%"
"07/01/2012","897.00","1,013.00","1,162.00","897.00","","-10.66%"
"06/01/2012","1,004.00","904.00","1,004.00","872.00","","8.78%"
"05/01/2012","923.00","1,152.00","1,165.00","923.00","","-20.09%"
"04/01/2012","1,155.00","934.00","1,156.00","926.00","","23.66%"
"03/01/2012","934.00","763.00","934.00","763.00","","24.53%"
"02/01/2012","750.00","662.00","750.00","647.00","","10.29%"
"01/01/2012","680.00","1,624.00","1,624.00","680.00","","-60.87%"
"12/01/2011","1,738.00","1,862.00","1,930.00","1,738.00","","-5.85%"
"11/01/2011","1,846.00","1,912.00","1,912.00","1,759.00","","-6.06%"
"10/01/2011","1,965.00","1,886.00","2,173.00","1,885.00","","3.48%"
"09/01/2011","1,899.00","1,682.00","1,928.00","1,682.00","","17.29%"
"08/01/2011","1,619.00","1,256.00","1,619.00","1,253.00","","28.09%"
"07/01/2011","1,264.00","1,422.00","1,453.00","1,264.00","","-10.54%"
"06/01/2011","1,413.00","1,485.00","1,489.00","1,400.00","","-4.53%"
"05/01/2011","1,480.00","1,292.00","1,480.00","1,271.00","","16.63%"
"04/01/2011","1,269.00","1,520.00","1,520.00","1,250.00","","-17.06%"
"03/01/2011","1,530.00","1,262.00","1,585.00","1,262.00","","22.30%"
"02/01/2011","1,251.00","1,084.00","1,301.00","1,043.00","","13.01%"
"01/01/2011","1,107.00","1,693.00","1,693.00","1,107.00","","-37.56%"
"12/01/2010","1,773.00","2,096.00","2,179.00","1,773.00","","-15.53%"
"11/01/2010","2,099.00","2,648.00","2,648.00","2,099.00","","-21.62%"
"10/01/2010","2,678.00","2,452.00","2,784.00","2,452.00","","9.48%"
"09/01/2010","2,446.00","2,741.00","2,995.00","2,444.00","","-9.84%"
"08/01/2010","2,713.00","1,977.00","2,861.00","1,957.00","","37.93%"
"07/01/2010","1,967.00","2,351.00","2,351.00","1,700.00","","-18.25%"
"06/01/2010","2,406.00","4,074.00","4,074.00","2,406.00","","-41.00%"
"05/01/2010","4,078.00","3,352.00","4,209.00","3,352.00","","21.59%"
"04/01/2010","3,354.00","2,991.00","3,359.00","2,911.00","","11.87%"
"03/01/2010","2,998.00","2,760.00","3,574.00","2,760.00","","9.50%"
"02/01/2010","2,738.00","2,745.00","2,745.00","2,566.00","","-3.86%"
